product_id,product_name,category,price,cost,stock_quantity,avg_daily_sales,reorder_level,avg_rating,review_count
SC041,Straight Leg Trousers,Bottoms,2099,840,38,5.2,18,4.4,172
SC042,Wrap Mini Skirt,Bottoms,1299,520,25,4.6,18,4.2,118
SC043,Track Pants,Bottoms,1199,480,70,7.5,25,4.0,221
SC044,Flared Jeans,Bottoms,2499,1000,30,4.9,18,4.6,148
SC045,Lace Trim Skirt,Bottoms,1799,720,11,2.9,15,4.3,73
SC046,Winter Puffer Jacket,Outerwear,5999,2400,22,2.4,12,4.7,134
SC047,Trench Coat,Outerwear,7499,3000,15,1.8,10,4.6,89
SC048,Denim Jacket,Outerwear,3499,1400,38,4.2,15,4.5,212
SC049,Oversized Blazer,Outerwear,4999,2000,25,3.3,12,4.4,156
SC050,Faux Leather Jacket,Outerwear,5499,2200,10,2.9,10,4.3,98
SC051,Woolen Overcoat,Outerwear,8999,3600,8,1.4,8,4.8,67
SC052,Crop Denim Jacket,Outerwear,3199,1280,30,3.6,12,4.2,143
SC053,Quilted Puffer Vest,Outerwear,3999,1600,17,2.7,10,4.4,78
SC054,Checked Blazer,Outerwear,5999,2400,12,2.1,10,4.5,112
SC055,Sherpa Lined Jacket,Outerwear,4499,1800,20,2.8,12,4.3,95
SC056,Windbreaker Jacket,Outerwear,3799,1520,28,3.4,12,4.1,124
SC057,Cape Coat,Outerwear,6499,2600,6,1.6,8,4.6,45
SC058,Military Utility Jacket,Outerwear,4299,1720,18,2.5,12,4.2,87
SC059,Classic Peacoat,Outerwear,6999,2800,9,1.9,10,4.7,56
SC060,Teddy Bear Coat,Outerwear,5299,2120,14,2.2,10,4.5,102
SC061,Pearl Stud Earrings,Accessories,599,120,150,12.5,50,4.4,345
SC062,Chain Link Necklace,Accessories,1299,260,80,8.7,30,4.3,234
SC063,Leather Belt,Accessories,999,200,60,7.2,25,4.2,189
SC064,Silk Scrunchie Set,Accessories,499,100,200,15.3,60,4.5,412
SC065,Canvas Tote Bag,Accessories,1499,300,45,6.8,20,4.6,287
SC066,Sunglasses Cat Eye,Accessories,1999,400,35,5.4,18,4.3,198
SC067,Woven Straw Hat,Accessories,1299,260,55,7.1,22,4.4,223
SC068,Silk Scarf,Accessories,1799,360,30,4.9,18,4.5,156
SC069,Beaded Bracelet Set,Accessories,799,160,90,9.8,35,4.2,289
SC070,Hair Clips Set,Accessories,399,80,180,14.2,55,4.3,367
SC071,Crossbody Mini Bag,Accessories,2499,500,22,4.3,15,4.6,134
SC072,Ankle Socks Set,Accessories,299,60,250,18.5,80,4.0,456
SC073,Coin Purse,Accessories,699,140,70,8.1,25,4.1,198
SC074,Enamel Pin Set,Accessories,499,100,120,10.4,40,4.3,267
SC075,Wide Headband,Accessories,599,120,100,9.6,35,4.4,312
SC076,Tassel Earrings,Accessories,799,160,65,7.8,25,4.2,178
SC077,Bucket Hat,Accessories,999,200,48,6.5,20,4.5,143
SC078,Layered Necklace Set,Accessories,1599,320,28,5.2,18,4.7,112
SC079,Fabric Headscarf,Accessories,899,180,85,9.1,30,4.3,234
SC080,Tortoiseshell Hair Claw,Accessories,649,130,110,11.3,40,4.4,289
SC081,Chic Linen Blazer,Tops,3299,1320,18,2.9,12,4.5,87
SC082,Summer Kaftan,Dresses,2899,1160,24,4.1,15,4.3,118
SC083,High Waist Shorts,Bottoms,1299,520,40,6.3,20,4.4,167
SC084,Rain Jacket,Outerwear,4799,1920,13,2.0,10,4.2,78
SC085,Leather Card Holder,Accessories,899,180,55,6.7,20,4.6,145
